LicenseID,UserPrincipalName,LicenseSKU,UsageLocation,AssignmentState,Notes
LIC-001,jan.vandamme@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-002,emma.peeters@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-003,luc.wouters@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-004,sophie.maes@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-005,marc.desmet@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-006,elena.mertens@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-007,bram.willems@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-008,sarah.jacobs@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-009,kevin.claes@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-010,lars.hermans@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-011,anke.smet@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-012,dieter.vermeulen@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-013,mieke.janssens@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-014,bart.peeters@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-015,leen.willems@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-016,koen.dumont@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-017,stijn.vandenberghe@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-018,inge.verstraete@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-019,tom.dekeyser@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-020,nathalie.bekaert@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-021,jonas.vermeiren@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-022,laura.maenhout@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-023,wim.goossens@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-024,sonia.dierckx@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-025,hendrik.vermeulen@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-026,evelien.baert@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-027,pieter.desmet@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-028,katrien.mertens@amblogistics.be,M365_BUSINESS_STANDARD,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-029,ruben.vandekerckhove@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-030,jef.lauwers@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-031,kris.pauwels@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-032,sofie.verbeke@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-033,gunter.dams@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-034,hilde.boons@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-035,johan.verlinden@amblogistics.be,M365_F3,BE,Planned,Loaded/count-only by AUT; no license assignment implemented.
LIC-036,admin.jan@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Protected admin account; loaded/count-only by AUT.
LIC-037,admin.bram@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Protected admin account; loaded/count-only by AUT.
LIC-038,breakglass@amblogistics.be,M365_BUSINESS_PREMIUM,BE,Planned,Protected break-glass account; loaded/count-only by AUT.
