UserID,FirstName,LastName,UPN,DisplayName,Department,Role,Location,AdminRole
U001,Jan,Van Damme,jan.vandamme@amblogistics.be,Jan Van Damme,MGMT,CEO,Antwerp HQ,None
U002,Emma,Peeters,emma.peeters@amblogistics.be,Emma Peeters,OPS,Operations Director,Antwerp HQ,None
U003,Luc,Wouters,luc.wouters@amblogistics.be,Luc Wouters,FIN,Finance Manager,Antwerp HQ,None
U004,Sophie,Maes,sophie.maes@amblogistics.be,Sophie Maes,HR,HR Manager,Antwerp HQ,None
U005,Marc,De Smet,marc.desmet@amblogistics.be,Marc De Smet,WHS,Warehouse Manager,Warehouse North,None
U006,Elena,Mertens,elena.mertens@amblogistics.be,Elena Mertens,DSP,Dispatch Manager,Dispatch Office,None
U007,Bram,Willems,bram.willems@amblogistics.be,Bram Willems,IT,IT Administrator,Antwerp HQ,None
U008,Sarah,Jacobs,sarah.jacobs@amblogistics.be,Sarah Jacobs,SAL,Sales Manager,Antwerp HQ,None
U009,Kevin,Claes,kevin.claes@amblogistics.be,Kevin Claes,SUP,Support Lead,Antwerp HQ,None
U010,Lars,Hermans,lars.hermans@amblogistics.be,Lars Hermans,MGMT,Executive Assistant,Antwerp HQ,None
U011,Anke,Smet,anke.smet@amblogistics.be,Anke Smet,OPS,Operations Specialist,Antwerp HQ,None
U012,Dieter,Vermeulen,dieter.vermeulen@amblogistics.be,Dieter Vermeulen,OPS,Logistics Coordinator,Antwerp HQ,None
U013,Mieke,Janssens,mieke.janssens@amblogistics.be,Mieke Janssens,OPS,Operations Specialist,Warehouse North,None
U014,Bart,Peeters,bart.peeters@amblogistics.be,Bart Peeters,OPS,Fleet Coordinator,Dispatch Office,None
U015,Leen,Willems,leen.willems@amblogistics.be,Leen Willems,OPS,Logistics Analyst,Antwerp HQ,None
U016,Koen,Dumont,koen.dumont@amblogistics.be,Koen Dumont,OPS,Operations Specialist,Antwerp HQ,None
U017,Stijn,Vandenberghe,stijn.vandenberghe@amblogistics.be,Stijn Vandenberghe,OPS,Operations Specialist,Warehouse North,None
U018,Inge,Verstraete,inge.verstraete@amblogistics.be,Inge Verstraete,SAL,Account Executive,Antwerp HQ,None
U019,Tom,De Keyser,tom.dekeyser@amblogistics.be,Tom De Keyser,SAL,Inside Sales,Antwerp HQ,None
U020,Nathalie,Bekaert,nathalie.bekaert@amblogistics.be,Nathalie Bekaert,SAL,Sales Representative,Antwerp HQ,None
U021,Jonas,Vermeiren,jonas.vermeiren@amblogistics.be,Jonas Vermeiren,SUP,Support Agent,Antwerp HQ,None
U022,Laura,Maenhout,laura.maenhout@amblogistics.be,Laura Maenhout,SUP,Support Agent,Antwerp HQ,None
U023,Wim,Goossens,wim.goossens@amblogistics.be,Wim Goossens,SUP,Support Agent,Antwerp HQ,None
U024,Sonia,Dierckx,sonia.dierckx@amblogistics.be,Sonia Dierckx,SUP,Support Agent,Antwerp HQ,None
U025,Hendrik,Vermeulen,hendrik.vermeulen@amblogistics.be,Hendrik Vermeulen,FIN,Senior Accountant,Antwerp HQ,None
U026,Evelien,Baert,evelien.baert@amblogistics.be,Evelien Baert,FIN,Payroll Specialist,Antwerp HQ,None
U027,Pieter,Desmet,pieter.desmet@amblogistics.be,Pieter Desmet,IT,Junior Systems Admin,Antwerp HQ,None
U028,Katrien,Mertens,katrien.mertens@amblogistics.be,Katrien Mertens,HR,HR Assistant,Antwerp HQ,None
U029,Ruben,Vandekerckhove,ruben.vandekerckhove@amblogistics.be,Ruben Vandekerckhove,WHS,Inventory Specialist,Warehouse North,None
U030,Jef,Lauwers,jef.lauwers@amblogistics.be,Jef Lauwers,WHS,Warehouse Operator,Warehouse North,None
U031,Kris,Pauwels,kris.pauwels@amblogistics.be,Kris Pauwels,WHS,Warehouse Operator,Warehouse North,None
U032,Sofie,Verbeke,sofie.verbeke@amblogistics.be,Sofie Verbeke,WHS,Warehouse Operator,Warehouse North,None
U033,Gunter,Dams,gunter.dams@amblogistics.be,Gunter Dams,DSP,Dispatcher,Dispatch Office,None
U034,Hilde,Boons,hilde.boons@amblogistics.be,Hilde Boons,DSP,Dispatcher,Dispatch Office,None
U035,Johan,Verlinden,johan.verlinden@amblogistics.be,Johan Verlinden,DSP,Dispatcher,Dispatch Office,None
A001,Admin,Jan,admin.jan@amblogistics.be,Admin Jan,IT,Global Administrator,Antwerp HQ,Global Administrator
A002,Admin,Bram,admin.bram@amblogistics.be,Admin Bram,IT,IT Administrator,Antwerp HQ,Teams Administrator
A003,Break,Glass,breakglass@amblogistics.be,Emergency BreakGlass,IT,Emergency Access,Antwerp HQ,Global Administrator
